rating_id,title_id,user_id,rating,rating_date
1,t0001,u02758,3,2021-06-11
2,t0001,u02508,4,2023-10-22
3,t0001,u07723,5,2022-09-10
4,t0001,u04403,4,2024-05-04
5,t0001,u00474,4,2023-09-16
6,t0002,u00284,5,2021-09-03
7,t0002,u03614,5,2021-03-24
8,t0002,u05414,5,2021-12-08
9,t0002,u04534,4,2022-10-19
10,t0002,u00772,5,2016-09-08
11,t0003,u06222,5,2023-06-11
12,t0003,u03743,2,2023-05-14
13,t0003,u07291,3,2022-08-20
14,t0003,u00416,3,2023-10-31
15,t0003,u04853,4,2024-02-28
16,t0003,u01269,5,2023-08-24
17,t0003,u05140,4,2022-12-02
18,t0003,u01627,2,2018-09-29
19,t0003,u05342,5,2023-07-10
20,t0003,u03200,2,2023-03-05
21,t0003,u07099,4,2023-01-31
22,t0003,u07717,5,2020-03-18
23,t0003,u05208,4,2023-08-13
24,t0003,u07617,3,2017-11-27
25,t0003,u03227,5,2019-06-19
26,t0003,u06035,2,2022-04-21
27,t0003,u07394,4,2017-10-17
28,t0003,u05851,5,2020-02-21
29,t0003,u03466,3,2022-09-25
30,t0003,u02034,3,2017-11-18
31,t0003,u07740,5,2021-07-03
32,t0003,u06522,3,2023-01-18
33,t0003,u07465,2,2018-01-15
34,t0003,u02314,4,2018-06-26
35,t0003,u02357,5,2020-12-19
36,t0003,u04159,2,2022-10-11
37,t0003,u01449,3,2019-08-19
38,t0003,u04991,3,2021-08-24
39,t0003,u02200,3,2018-12-19
40,t0003,u03925,2,2018-06-23
41,t0003,u04046,3,2023-05-26
42,t0003,u01657,2,2020-03-12
43,t0003,u04511,3,2019-10-28
44,t0003,u02335,5,2021-10-10
45,t0003,u05427,5,2017-12-04
46,t0003,u01818,3,2017-11-14
47,t0003,u04915,5,2022-08-02
48,t0003,u00724,5,2021-01-14
49,t0003,u00759,3,2022-10-02
50,t0003,u04931,4,2023-02-22
51,t0004,u05616,3,2024-03-18
52,t0004,u04665,3,2023-07-09
53,t0004,u04496,3,2023-12-30
54,t0004,u02839,3,2022-08-07
55,t0004,u02864,3,2022-08-30
56,t0005,u05821,4,2018-06-11
57,t0005,u04729,4,2023-04-28
58,t0005,u03523,4,2020-04-20
59,t0005,u07129,4,2023-08-17
60,t0005,u02981,3,2021-03-28
61,t0005,u01319,2,2021-05-11
62,t0005,u02623,5,2019-12-06
63,t0005,u02412,2,2023-01-14
64,t0005,u02839,3,2021-10-01
65,t0005,u03983,2,2022-03-29
66,t0005,u07751,5,2019-05-17
67,t0005,u03311,3,2024-06-11
68,t0005,u01962,4,2018-12-26
69,t0005,u00657,4,2019-06-25
70,t0005,u02804,4,2019-03-02
71,t0005,u02318,5,2020-02-15
72,t0005,u06933,4,2021-07-17
73,t0005,u02786,4,2019-05-02
74,t0005,u07725,3,2019-08-26
75,t0005,u01865,2,2021-08-09
76,t0005,u01889,3,2021-07-04
77,t0005,u00943,3,2020-10-13
78,t0005,u00885,4,2024-04-18
79,t0005,u01004,4,2019-03-21
80,t0005,u00089,4,2020-08-23
81,t0005,u04244,2,2021-07-30
82,t0005,u05755,4,2019-07-01
83,t0005,u07353,4,2018-05-23
84,t0005,u01732,4,2018-07-21
85,t0005,u02787,4,2020-09-24
86,t0005,u06522,4,2019-02-05
87,t0005,u04784,3,2018-06-05
88,t0005,u03970,4,2019-06-24
89,t0005,u01732,5,2022-01-23
90,t0005,u02831,3,2018-09-21
91,t0005,u01320,4,2023-03-10
92,t0005,u05750,3,2023-11-15
93,t0005,u02822,2,2024-05-30
94,t0005,u06437,4,2020-07-08
95,t0005,u02521,3,2020-05-21
96,t0005,u06517,4,2023-05-26
97,t0005,u04438,5,2018-05-04
98,t0005,u01552,4,2020-11-12
99,t0005,u00981,3,2020-07-03
100,t0005,u05212,3,2022-06-24
101,t0005,u03525,2,2019-07-05
102,t0005,u04656,5,2022-05-02
103,t0005,u00727,4,2024-02-05
104,t0005,u00122,3,2019-02-12
105,t0005,u01524,3,2024-02-12
106,t0005,u03620,3,2019-09-03
107,t0005,u05488,4,2019-12-03
108,t0005,u04380,3,2020-04-20
109,t0005,u05211,3,2020-02-07
110,t0005,u04138,3,2018-11-23
111,t0005,u03467,3,2022-06-10
112,t0005,u00672,4,2023-07-26
113,t0005,u04782,3,2021-12-03
114,t0005,u02725,4,2018-09-13
115,t0005,u01777,4,2023-06-09
116,t0005,u06819,4,2023-07-09
117,t0005,u07606,2,2021-04-13
118,t0005,u04880,3,2019-12-07
119,t0005,u04557,5,2022-09-19
120,t0005,u00202,3,2018-08-27
121,t0005,u05129,2,2021-03-07
122,t0005,u01526,3,2020-07-25
123,t0005,u01258,4,2019-05-29
124,t0005,u06955,4,2020-10-28
125,t0005,u07981,3,2023-09-21
126,t0005,u01688,4,2020-02-04
127,t0005,u02168,3,2023-03-07
128,t0005,u06943,3,2020-07-21
129,t0005,u04651,4,2018-06-30
130,t0005,u06229,3,2020-02-11
131,t0005,u01251,4,2018-12-24
132,t0005,u05283,4,2019-04-25
133,t0005,u01261,2,2019-08-24
134,t0005,u02159,2,2023-03-17
135,t0005,u03790,2,2020-06-20
136,t0005,u07698,3,2022-09-29
137,t0005,u01183,4,2021-04-02
138,t0005,u05868,2,2021-10-18
139,t0005,u06257,3,2019-06-19
140,t0005,u00213,5,2021-05-17
141,t0005,u01012,2,2020-09-26
142,t0005,u02219,4,2018-10-31
143,t0005,u06077,4,2019-09-01
144,t0005,u00585,3,2020-09-13
145,t0005,u00032,3,2020-12-28
146,t0005,u03486,3,2018-11-18
147,t0005,u06389,3,2020-01-03
148,t0005,u02892,2,2023-04-26
149,t0005,u04011,3,2022-10-05
150,t0005,u01285,5,2021-01-20
151,t0005,u07746,4,2023-02-11
152,t0005,u02793,3,2021-11-25
153,t0005,u02284,3,2018-12-01
154,t0005,u00354,2,2019-10-12
155,t0005,u05672,4,2022-12-18
156,t0005,u05564,4,2021-04-13
157,t0005,u02653,3,2022-01-29
158,t0005,u04642,2,2022-06-22
159,t0005,u02593,3,2018-10-26
160,t0005,u00872,3,2019-07-11
161,t0005,u03477,4,2020-09-07
162,t0005,u07868,4,2021-04-06
163,t0005,u02875,5,2020-05-05
164,t0005,u07614,4,2020-11-18
165,t0005,u01238,2,2023-09-01
166,t0005,u03218,4,2021-02-11
167,t0005,u03784,3,2022-12-27
168,t0005,u07192,1,2020-10-26
169,t0005,u06373,3,2022-12-13
170,t0005,u07188,4,2023-09-09
171,t0005,u05771,4,2023-10-02
172,t0005,u00579,4,2019-08-02
173,t0005,u06988,5,2018-09-06
174,t0005,u03029,4,2021-11-10
175,t0005,u02189,2,2021-04-30
176,t0005,u04370,2,2020-07-02
177,t0005,u02946,2,2024-01-11
178,t0005,u04405,2,2021-07-22
179,t0005,u04534,4,2020-06-11
180,t0005,u03711,4,2020-02-12
181,t0005,u00709,3,2021-08-21
182,t0005,u03295,3,2018-07-25
183,t0005,u00339,2,2020-09-13
184,t0005,u00117,2,2020-09-28
185,t0005,u00260,3,2020-09-14
186,t0005,u00068,5,2020-10-02
187,t0005,u06714,3,2020-07-31
188,t0005,u07140,3,2022-07-22
189,t0005,u05437,2,2021-10-03
190,t0005,u00675,3,2019-03-20
191,t0005,u06512,3,2022-03-25
192,t0005,u03299,3,2023-02-14
193,t0005,u06236,3,2018-12-02
194,t0005,u05674,4,2020-11-21
195,t0005,u06079,5,2022-12-30
196,t0005,u01360,5,2018-09-25
197,t0005,u02870,4,2019-12-16
198,t0005,u02306,3,2021-12-02
199,t0005,u06017,3,2020-10-28
200,t0005,u03422,3,2018-10-25
201,t0005,u03774,5,2021-03-21
202,t0005,u01026,3,2022-09-01
203,t0005,u03693,2,2018-09-01
204,t0005,u01143,3,2024-03-02
205,t0005,u07539,4,2020-05-06
206,t0005,u05224,4,2018-11-07
207,t0005,u00381,2,2020-09-27
208,t0005,u00177,5,2023-10-09
209,t0005,u00614,4,2021-07-24
210,t0005,u04710,5,2018-09-08
211,t0005,u00494,4,2024-04-15
212,t0005,u01573,3,2022-05-29
213,t0005,u02958,3,2021-08-27
214,t0005,u07519,4,2023-10-15
215,t0005,u00425,5,2020-01-27
216,t0005,u06799,3,2019-11-19
217,t0005,u06654,3,2020-11-13
218,t0005,u02649,3,2018-06-10
219,t0005,u07877,4,2020-10-28
220,t0005,u02198,3,2023-01-28
221,t0005,u06839,4,2020-01-26
222,t0005,u03976,4,2022-10-20
223,t0005,u04032,3,2021-11-29
224,t0005,u00616,4,2021-12-07
225,t0005,u07758,4,2023-02-09
226,t0005,u01557,5,2023-04-06
227,t0005,u02736,3,2023-11-16
228,t0005,u05202,4,2024-01-01
229,t0005,u07965,3,2020-07-13
230,t0005,u07968,5,2022-06-01
231,t0005,u07048,4,2021-08-21
232,t0005,u01939,5,2023-09-16
233,t0005,u02502,4,2022-10-06
234,t0005,u02714,3,2023-10-22
235,t0005,u07226,4,2019-01-13
236,t0005,u00906,3,2021-04-05
237,t0005,u07396,2,2023-10-31
238,t0005,u07422,3,2020-07-28
239,t0005,u03030,4,2020-05-05
240,t0005,u04346,3,2018-05-18
241,t0005,u00826,3,2023-09-12
242,t0005,u06237,3,2020-06-15
243,t0005,u03431,3,2020-08-06
244,t0005,u07569,4,2022-10-16
245,t0005,u00261,4,2019-05-16
246,t0005,u00568,2,2020-04-17
247,t0005,u07002,5,2019-08-01
248,t0005,u05021,3,2023-08-26
249,t0005,u05501,3,2023-09-05
250,t0005,u06941,4,2019-03-08
251,t0005,u02817,3,2019-11-06
252,t0005,u04894,4,2023-05-11
253,t0005,u04465,3,2020-12-22
254,t0005,u04898,4,2022-10-11
255,t0005,u04352,4,2023-01-31
256,t0005,u05617,4,2018-06-24
257,t0005,u06378,3,2023-10-10
258,t0005,u00795,2,2022-12-06
259,t0005,u03016,4,2024-04-09
260,t0005,u04322,4,2019-09-12
261,t0005,u05401,3,2024-06-24
262,t0005,u05500,4,2023-09-23
263,t0005,u07398,5,2023-07-17
264,t0005,u03275,4,2023-11-18
265,t0005,u07373,2,2019-04-21
266,t0005,u07423,2,2019-06-10
267,t0005,u01670,5,2021-11-29
