genre_id,title_id,genre
1,t0001,Kids' TV
2,t0002,Horror Movies
3,t0002,Music & Musicals
4,t0003,Sci-Fi & Fantasy
5,t0003,Romantic Movies
6,t0004,Reality TV
7,t0004,Music & Musicals
8,t0005,International
9,t0005,Stand-Up Comedy
10,t0005,Sci-Fi & Fantasy
11,t0006,Independent
12,t0006,LGBTQ
13,t0007,Action & Adventure
14,t0007,Documentaries
15,t0008,Documentaries
16,t0008,LGBTQ
17,t0008,Independent
18,t0009,Comedies
19,t0010,Anime
20,t0010,Comedies
21,t0011,Documentaries
22,t0011,Independent
23,t0012,LGBTQ
24,t0012,Classic
25,t0012,Crime
26,t0013,Crime
27,t0014,Independent
28,t0014,Dramas
29,t0015,Anime
30,t0015,Music & Musicals
31,t0015,Classic
32,t0016,Documentaries
33,t0016,Horror Movies
34,t0016,Comedies
35,t0017,Music & Musicals
36,t0017,Thrillers
37,t0018,Sci-Fi & Fantasy
38,t0018,Action & Adventure
39,t0019,Music & Musicals
40,t0019,LGBTQ
41,t0020,Comedies
42,t0021,Comedies
43,t0021,Documentaries
44,t0022,Sports
45,t0022,Crime
46,t0023,Romantic Movies
47,t0023,Kids' TV
48,t0023,Anime
49,t0024,Thrillers
50,t0024,Kids' TV
51,t0024,Music & Musicals
52,t0025,Horror Movies
53,t0026,Thrillers
54,t0026,LGBTQ
55,t0026,Kids' TV
56,t0027,Reality TV
57,t0028,Horror Movies
58,t0029,Action & Adventure
59,t0029,Music & Musicals
60,t0029,International
61,t0030,LGBTQ
62,t0030,Dramas
63,t0030,Thrillers
64,t0031,Classic
65,t0031,Horror Movies
66,t0032,International
67,t0032,Anime
68,t0032,Classic
69,t0033,International
70,t0034,Reality TV
71,t0034,Sports
72,t0035,Stand-Up Comedy
73,t0036,Action & Adventure
74,t0037,Anime
75,t0037,Crime
76,t0037,Kids' TV
77,t0038,Classic
78,t0039,Classic
79,t0039,International
80,t0039,Action & Adventure
81,t0040,Kids' TV
82,t0041,Romantic Movies
83,t0041,Sci-Fi & Fantasy
84,t0042,Sci-Fi & Fantasy
85,t0043,Classic
86,t0043,Dramas
87,t0044,Reality TV
88,t0044,LGBTQ
89,t0045,Thrillers
90,t0046,Classic
91,t0046,Stand-Up Comedy
92,t0046,Independent
93,t0047,Romantic Movies
94,t0047,Classic
95,t0047,Documentaries
96,t0048,Kids' TV
97,t0048,Thrillers
98,t0049,Kids' TV
99,t0049,Thrillers
100,t0050,LGBTQ
101,t0051,Comedies
102,t0051,Sci-Fi & Fantasy
103,t0052,Dramas
104,t0053,Kids' TV
105,t0053,Comedies
106,t0053,Sci-Fi & Fantasy
107,t0054,Documentaries
108,t0055,Classic
109,t0056,International
110,t0056,Documentaries
111,t0057,Horror Movies
112,t0058,Thrillers
113,t0058,LGBTQ
114,t0058,Anime
115,t0059,International
116,t0059,Action & Adventure
117,t0059,Anime
118,t0060,Sci-Fi & Fantasy
119,t0060,Thrillers
120,t0061,Sports
121,t0061,Dramas
122,t0061,Sci-Fi & Fantasy
123,t0062,International
124,t0063,Kids' TV
125,t0063,Sci-Fi & Fantasy
126,t0064,International
127,t0065,Music & Musicals
128,t0066,Romantic Movies
129,t0066,Comedies
130,t0066,Classic
131,t0067,Classic
132,t0068,Thrillers
133,t0068,Dramas
134,t0069,International
135,t0070,Romantic Movies
136,t0070,Kids' TV
137,t0070,Music & Musicals
138,t0071,Music & Musicals
139,t0072,Comedies
140,t0073,Dramas
141,t0073,Crime
142,t0073,Stand-Up Comedy
143,t0074,Thrillers
144,t0074,Independent
145,t0075,Stand-Up Comedy
146,t0075,Crime
147,t0075,Romantic Movies
148,t0076,Romantic Movies
149,t0076,Comedies
150,t0077,Comedies
151,t0077,Crime
152,t0078,Stand-Up Comedy
153,t0078,Horror Movies
154,t0079,Crime
155,t0079,Sci-Fi & Fantasy
156,t0079,Comedies
157,t0080,Anime
158,t0081,Sports
159,t0082,Music & Musicals
160,t0083,Comedies
161,t0084,Sci-Fi & Fantasy
162,t0085,Action & Adventure
163,t0085,Sports
164,t0085,Reality TV
165,t0086,Dramas
166,t0087,Romantic Movies
167,t0087,Comedies
168,t0088,Classic
169,t0088,Kids' TV
170,t0088,Anime
171,t0089,Romantic Movies
172,t0089,Stand-Up Comedy
173,t0089,Horror Movies
174,t0090,Classic
175,t0090,Action & Adventure
176,t0091,Reality TV
177,t0092,Sci-Fi & Fantasy
178,t0092,LGBTQ
179,t0092,Romantic Movies
180,t0093,Independent
181,t0093,Sci-Fi & Fantasy
182,t0093,Stand-Up Comedy
183,t0094,International
184,t0095,LGBTQ
185,t0095,Romantic Movies
186,t0096,Horror Movies
187,t0096,Crime
188,t0097,Thrillers
189,t0097,Stand-Up Comedy
190,t0097,Independent
191,t0098,LGBTQ
192,t0098,Sci-Fi & Fantasy
193,t0099,Documentaries
194,t0099,Kids' TV
195,t0099,Music & Musicals
196,t0100,Kids' TV
197,t0100,LGBTQ
198,t0101,Music & Musicals
199,t0102,LGBTQ
200,t0103,Sports
201,t0103,Reality TV
202,t0103,Romantic Movies
203,t0104,Classic
204,t0104,Sports
205,t0104,Stand-Up Comedy
206,t0105,Music & Musicals
207,t0105,Romantic Movies
208,t0106,Crime
209,t0107,International
210,t0107,Anime
211,t0108,Crime
212,t0108,Romantic Movies
213,t0108,Sci-Fi & Fantasy
214,t0109,Romantic Movies
215,t0109,Thrillers
216,t0109,International
217,t0110,Documentaries
218,t0111,Crime
219,t0112,Music & Musicals
220,t0112,Action & Adventure
221,t0113,Horror Movies
222,t0113,Classic
223,t0113,Independent
224,t0114,LGBTQ
225,t0114,Thrillers
226,t0115,Kids' TV
227,t0115,Horror Movies
228,t0116,Sports
229,t0116,Documentaries
230,t0116,Crime
231,t0117,Comedies
232,t0118,Independent
233,t0119,Reality TV
234,t0119,Stand-Up Comedy
235,t0120,Romantic Movies
236,t0120,Reality TV
237,t0121,International
238,t0121,LGBTQ
239,t0122,Sci-Fi & Fantasy
240,t0123,Independent
241,t0124,Dramas
242,t0124,Stand-Up Comedy
243,t0125,Music & Musicals
244,t0125,Dramas
245,t0126,Classic
246,t0127,International
247,t0128,Documentaries
248,t0129,Stand-Up Comedy
249,t0129,Comedies
250,t0129,Classic
251,t0130,Independent
252,t0130,Documentaries
253,t0131,Crime
254,t0132,Stand-Up Comedy
255,t0132,International
256,t0133,Reality TV
257,t0133,Sci-Fi & Fantasy
258,t0133,Thrillers
259,t0134,LGBTQ
260,t0135,Documentaries
261,t0136,Comedies
262,t0137,Independent
263,t0137,Anime
264,t0138,LGBTQ
265,t0138,Dramas
266,t0139,Romantic Movies
267,t0139,Classic
268,t0140,Dramas
269,t0140,Stand-Up Comedy
270,t0141,Dramas
271,t0142,Reality TV
272,t0142,Documentaries
273,t0143,Thrillers
274,t0144,Sports
275,t0144,Dramas
276,t0145,Music & Musicals
277,t0145,Horror Movies
278,t0145,Stand-Up Comedy
279,t0146,Music & Musicals
280,t0146,LGBTQ
281,t0147,Kids' TV
282,t0147,Independent
283,t0147,Horror Movies
284,t0148,Sports
285,t0148,Stand-Up Comedy
286,t0148,Action & Adventure
287,t0149,Stand-Up Comedy
288,t0149,Crime
289,t0150,Sports
290,t0151,Thrillers
291,t0151,Romantic Movies
292,t0152,Documentaries
293,t0152,International
294,t0153,Romantic Movies
295,t0153,Music & Musicals
296,t0153,Comedies
297,t0154,Anime
298,t0154,Independent
299,t0155,Romantic Movies
300,t0155,Music & Musicals
301,t0156,Comedies
302,t0157,Independent
303,t0158,Dramas
304,t0158,Reality TV
305,t0159,Classic
306,t0159,Horror Movies
307,t0159,Kids' TV
308,t0160,Stand-Up Comedy
309,t0161,Crime
310,t0161,Dramas
311,t0162,Crime
312,t0163,Dramas
313,t0163,Anime
314,t0164,Documentaries
315,t0164,Music & Musicals
316,t0164,Reality TV
317,t0165,Documentaries
318,t0166,Dramas
319,t0166,Documentaries
320,t0167,International
321,t0167,Documentaries
322,t0167,Music & Musicals
323,t0168,Classic
324,t0168,Reality TV
325,t0169,Romantic Movies
326,t0169,Sports
327,t0169,Action & Adventure
328,t0170,Independent
329,t0170,Music & Musicals
330,t0171,Comedies
331,t0172,International
332,t0172,Stand-Up Comedy
333,t0173,Crime
334,t0174,Comedies
335,t0174,Action & Adventure
336,t0174,LGBTQ
337,t0175,Comedies
338,t0176,Documentaries
339,t0176,Stand-Up Comedy
340,t0176,Independent
341,t0177,Reality TV
342,t0178,Comedies
343,t0178,Documentaries
344,t0178,Thrillers
345,t0179,Action & Adventure
346,t0180,Thrillers
347,t0180,Romantic Movies
348,t0181,Romantic Movies
349,t0182,International
350,t0182,Crime
351,t0183,Reality TV
352,t0184,Anime
353,t0184,International
354,t0184,Documentaries
355,t0185,Action & Adventure
356,t0185,Anime
357,t0185,Crime
358,t0186,Documentaries
359,t0186,Kids' TV
360,t0186,Horror Movies
361,t0187,Action & Adventure
362,t0187,Dramas
363,t0187,Romantic Movies
364,t0188,Documentaries
365,t0188,Reality TV
366,t0189,Anime
367,t0190,Anime
368,t0190,Stand-Up Comedy
369,t0190,Thrillers
370,t0191,Action & Adventure
371,t0192,Thrillers
372,t0192,Horror Movies
373,t0192,Sci-Fi & Fantasy
374,t0193,Thrillers
375,t0193,Independent
376,t0194,Thrillers
377,t0194,International
378,t0194,Stand-Up Comedy
379,t0195,Horror Movies
380,t0195,LGBTQ
381,t0195,Independent
382,t0196,Independent
383,t0196,Thrillers
384,t0196,Comedies
385,t0197,Comedies
386,t0197,Reality TV
387,t0198,Horror Movies
388,t0198,Anime
389,t0199,Sports
390,t0199,Dramas
391,t0200,Action & Adventure
392,t0201,Action & Adventure
393,t0201,Independent
394,t0202,Documentaries
395,t0202,Sci-Fi & Fantasy
396,t0203,Crime
397,t0204,Stand-Up Comedy
398,t0205,International
399,t0205,Sports
400,t0205,Kids' TV
401,t0206,Horror Movies
402,t0207,Action & Adventure
403,t0207,Stand-Up Comedy
404,t0208,Kids' TV
405,t0208,Reality TV
406,t0208,Music & Musicals
407,t0209,Anime
408,t0209,Horror Movies
409,t0210,Kids' TV
410,t0210,Classic
411,t0210,Sci-Fi & Fantasy
412,t0211,Documentaries
413,t0212,Documentaries
414,t0213,Romantic Movies
415,t0213,Anime
416,t0214,Comedies
417,t0215,Thrillers
418,t0215,Horror Movies
419,t0216,Sports
420,t0217,Crime
421,t0218,Dramas
422,t0218,Horror Movies
